compound_0,compound_0_role,compound_0_amount,compound_0_amount_grams,compound_1,compound_1_role,compound_1_amount,compound_1_amount_grams,compound_2,compound_2_role,compound_2_amount,compound_2_amount_grams,compound_3,compound_3_role,compound_3_amount,compound_3_amount_grams,compound_4,compound_4_role,compound_4_amount,compound_4_amount_grams,id,notes,labGroup,dirty,calculating,recalculate,reaction_ptr,user,performedBy,performedDateTime,insertedDateTime,recommendation,legacyRecommendedFlag,valid,public,duplicateOf,legacyID,legacyRef,convertedLegacyRef,reference,labBookPage
Sodium tellurite,Inorg,0.50321,0.11150,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,0.84168,0.16760,Sodium metavanadate,Inorg,1.28517,0.15670,Water,Solv,333.05579,6.00010,?,?,?,?,28440,,Norquist Oxide Lab,False,False,False,Reaction_28440,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1431,eg21.6,eg21.6,eg21.6,
Sodium metavanadate,Inorg,0.49947,0.06090,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,0.82913,0.16510,Sodium tellurite,Inorg,1.24201,0.27520,Water,Solv,333.05579,6.00010,?,?,?,?,28441,,Norquist Oxide Lab,False,False,False,Reaction_28441,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1432,eg21.7,eg21.7,eg21.7,
Sodium tellurite,Inorg,0.41791,0.09260,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,0.85273,0.16980,Sodium metavanadate,Inorg,1.24663,0.15200,Water,Solv,333.05579,6.00010,?,?,?,?,28442,,Norquist Oxide Lab,False,False,False,Reaction_28442,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1433,eg21.8,eg21.8,eg21.8,
Sodium metavanadate,Inorg,0.55442,0.06760,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,0.82159,0.16360,Sodium tellurite,Inorg,1.24832,0.27660,Water,Solv,341.38218,6.15010,?,?,?,?,28443,,Norquist Oxide Lab,False,False,False,Reaction_28443,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1434,eg21.9,eg21.9,eg21.9,
Sodium tellurite,Inorg,0.37053,0.08210,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,1.00942,0.20100,Sodium metavanadate,Inorg,1.26139,0.15380,Water,Solv,333.05579,6.00010,?,?,?,?,28444,,Norquist Oxide Lab,False,False,False,Reaction_28444,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1435,eg21.10,eg21.10,eg21.10,
Sodium metavanadate,Inorg,0.36743,0.04480,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,0.94363,0.18790,Sodium tellurite,Inorg,1.22711,0.27190,Water,Solv,333.05579,6.00010,?,?,?,?,28445,,Norquist Oxide Lab,False,False,False,Reaction_28445,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1436,eg21.11,eg21.11,eg21.11,
Sodium tellurite,Inorg,0.30057,0.06660,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,0.93660,0.18650,Sodium metavanadate,Inorg,1.28927,0.15720,Water,Solv,333.05579,6.00010,?,?,?,?,28446,,Norquist Oxide Lab,False,False,False,Reaction_28446,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1437,eg21.12,eg21.12,eg21.12,
Sodium metavanadate,Inorg,0.28377,0.03460,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,0.82812,0.16490,Sodium tellurite,Inorg,1.23479,0.27360,Water,Solv,334.72107,6.03010,?,?,?,?,28447,,Norquist Oxide Lab,False,False,False,Reaction_28447,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1438,eg21.13,eg21.13,eg21.13,
Sodium tellurite,Inorg,0.23017,0.05100,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,0.81507,0.16230,Sodium metavanadate,Inorg,1.21874,0.14860,Water,Solv,333.05579,6.00010,?,?,?,?,28448,,Norquist Oxide Lab,False,False,False,Reaction_28448,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1439,eg21.14,eg21.14,eg21.14,
Sodium metavanadate,Inorg,0.24440,0.02980,(R)-(+)-3-Aminoquinuclidine 2HCl,Org,0.80904,0.16110,Sodium tellurite,Inorg,1.28262,0.28420,Water,Solv,346.93311,6.25010,?,?,?,?,28449,,Norquist Oxide Lab,False,False,False,Reaction_28449,cfalk,,,2016-05-02 20:54:09,,False,True,True,,1440,eg21.15,eg21.15,eg21.15,
"1,6-HEXANEDIAMINE",Org,0.95260,0.11070,Sodium metavanadate,Inorg,1.14903,0.14010,Sodium tellurite,Inorg,1.23569,0.27380,Water,Solv,330.83541,5.96010,?,?,?,?,28495,,Norquist Oxide Lab,False,False,False,Reaction_28495,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1486,eg45.1,eg45.1,eg45.1,
"1,6-HEXANEDIAMINE",Org,0.80545,0.09360,Sodium metavanadate,Inorg,1.17363,0.14310,Sodium tellurite,Inorg,1.22531,0.27150,Water,Solv,330.83541,5.96010,?,?,?,?,28496,,Norquist Oxide Lab,False,False,False,Reaction_28496,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1487,eg45.2,eg45.2,eg45.2,
"1,6-HEXANEDIAMINE",Org,1.02403,0.11900,Sodium tellurite,Inorg,1.16573,0.25830,Sodium metavanadate,Inorg,1.18430,0.14440,Water,Solv,331.39051,5.97010,?,?,?,?,28497,,Norquist Oxide Lab,False,False,False,Reaction_28497,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1488,eg45.3,eg45.3,eg45.3,
"1,6-HEXANEDIAMINE",Org,0.88462,0.10280,Sodium metavanadate,Inorg,1.15641,0.14100,Sodium tellurite,Inorg,1.20680,0.26740,Water,Solv,346.93311,6.25010,?,?,?,?,28498,,Norquist Oxide Lab,False,False,False,Reaction_28498,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1489,eg45.4,eg45.4,eg45.4,
"1,6-HEXANEDIAMINE",Org,0.88462,0.10280,Sodium metavanadate,Inorg,1.14821,0.14000,Sodium tellurite,Inorg,1.17927,0.26130,Water,Solv,338.60672,6.10010,?,?,?,?,28499,,Norquist Oxide Lab,False,False,False,Reaction_28499,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1490,eg45.5,eg45.5,eg45.5,
"1,6-HEXANEDIAMINE",Org,0.88290,0.10260,Sodium tellurite,Inorg,1.17025,0.25930,Sodium metavanadate,Inorg,1.44100,0.17570,Water,Solv,342.99195,6.17910,?,?,?,?,28500,,Norquist Oxide Lab,False,False,False,Reaction_28500,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1491,eg45.6,eg45.6,eg45.6,
"1,6-HEXANEDIAMINE",Org,0.78996,0.09180,Sodium metavanadate,Inorg,1.19168,0.14530,Sodium tellurite,Inorg,1.22034,0.27040,Water,Solv,334.72107,6.03010,?,?,?,?,28501,,Norquist Oxide Lab,False,False,False,Reaction_28501,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1492,eg45.7,eg45.7,eg45.7,
"1,6-HEXANEDIAMINE",Org,1.10578,0.12850,Sodium tellurite,Inorg,1.21267,0.26870,Sodium metavanadate,Inorg,1.33356,0.16260,Water,Solv,333.61088,6.01010,?,?,?,?,28502,,Norquist Oxide Lab,False,False,False,Reaction_28502,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1493,eg45.8,eg45.8,eg45.8,
"1,6-HEXANEDIAMINE",Org,0.92593,0.10760,Sodium tellurite,Inorg,1.20049,0.26600,Sodium metavanadate,Inorg,1.20234,0.14660,Water,Solv,335.83125,6.05010,?,?,?,?,28503,,Norquist Oxide Lab,False,False,False,Reaction_28503,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1494,eg45.9,eg45.9,eg45.9,
"1,6-HEXANEDIAMINE",Org,0.82180,0.09550,Sodium metavanadate,Inorg,1.20726,0.14720,Sodium tellurite,Inorg,1.25735,0.27860,Water,Solv,342.49237,6.17010,?,?,?,?,28504,,Norquist Oxide Lab,False,False,False,Reaction_28504,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1495,eg45.10,eg45.10,eg45.10,
Sodium metavanadate,Inorg,1.18758,0.14480,TMEDA,Org,1.19011,0.13830,Sodium tellurite,Inorg,1.19372,0.26450,Water,Solv,337.49653,6.08010,?,?,?,?,28505,,Norquist Oxide Lab,False,False,False,Reaction_28505,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1496,eg46.1,eg46.1,eg46.1,
Sodium tellurite,Inorg,1.17341,0.26000,TMEDA,Org,1.20904,0.14050,Sodium metavanadate,Inorg,1.22858,0.14980,Water,Solv,345.26783,6.22010,?,?,?,?,28506,,Norquist Oxide Lab,False,False,False,Reaction_28506,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1497,eg46.2,eg46.2,eg46.2,
TMEDA,Org,1.21162,0.14080,Sodium tellurite,Inorg,1.21402,0.26900,Sodium metavanadate,Inorg,1.22694,0.14960,Water,Solv,335.27616,6.04010,?,?,?,?,28507,,Norquist Oxide Lab,False,False,False,Reaction_28507,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1498,eg46.3,eg46.3,eg46.3,
Sodium metavanadate,Inorg,1.15805,0.14120,Sodium tellurite,Inorg,1.22079,0.27050,TMEDA,Org,1.29079,0.15000,Water,Solv,343.60255,6.19010,?,?,?,?,28508,,Norquist Oxide Lab,False,False,False,Reaction_28508,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1499,eg46.4,eg46.4,eg46.4,
Sodium tellurite,Inorg,1.18424,0.26240,TMEDA,Org,1.21076,0.14070,Sodium metavanadate,Inorg,1.26713,0.15450,Water,Solv,338.05162,6.09010,?,?,?,?,28509,,Norquist Oxide Lab,False,False,False,Reaction_28509,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1500,eg46.5,eg46.5,eg46.5,
TMEDA,Org,1.13245,0.13160,Sodium tellurite,Inorg,1.16754,0.25870,Sodium metavanadate,Inorg,1.20398,0.14680,Water,Solv,343.04746,6.18010,?,?,?,?,28510,,Norquist Oxide Lab,False,False,False,Reaction_28510,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1501,eg46.6,eg46.6,eg46.6,
Sodium tellurite,Inorg,1.17115,0.25950,Sodium metavanadate,Inorg,1.17445,0.14320,TMEDA,Org,1.17634,0.13670,Water,Solv,333.05579,6.00010,?,?,?,?,28511,,Norquist Oxide Lab,False,False,False,Reaction_28511,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1502,eg46.7,eg46.7,eg46.7,
Sodium metavanadate,Inorg,1.19824,0.14610,TMEDA,Org,1.21678,0.14140,Sodium tellurite,Inorg,1.24968,0.27690,Water,Solv,333.05579,6.00010,?,?,?,?,28512,,Norquist Oxide Lab,False,False,False,Reaction_28512,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1503,eg46.8,eg46.8,eg46.8,
TMEDA,Org,1.17978,0.13710,Sodium tellurite,Inorg,1.23027,0.27260,Sodium metavanadate,Inorg,1.27123,0.15500,Water,Solv,336.94144,6.07010,?,?,?,?,28513,,Norquist Oxide Lab,False,False,False,Reaction_28513,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1504,eg46.9,eg46.9,eg46.9,
Sodium metavanadate,Inorg,1.16707,0.14230,TMEDA,Org,1.17462,0.13650,Sodium tellurite,Inorg,1.20049,0.26600,Water,Solv,332.50069,5.99010,?,?,?,?,28514,,Norquist Oxide Lab,False,False,False,Reaction_28514,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1505,eg46.10,eg46.10,eg46.10,
Sodium metavanadate,Inorg,1.18512,0.14450,TMEDA,Org,1.20474,0.14000,Sodium tellurite,Inorg,1.21538,0.26930,Water,Solv,331.94560,5.98010,?,?,?,?,28515,,Norquist Oxide Lab,False,False,False,Reaction_28515,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1506,eg48.1,eg48.1,eg48.1,
TMEDA,Org,1.17548,0.13660,Sodium tellurite,Inorg,1.19552,0.26490,Sodium metavanadate,Inorg,1.22448,0.14930,Water,Solv,333.61088,6.01010,?,?,?,?,28516,,Norquist Oxide Lab,False,False,False,Reaction_28516,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1507,eg48.2,eg48.2,eg48.2,
Sodium tellurite,Inorg,1.19913,0.26570,TMEDA,Org,1.22883,0.14280,Sodium metavanadate,Inorg,1.28353,0.15650,Water,Solv,334.16597,6.02010,?,?,?,?,28517,,Norquist Oxide Lab,False,False,False,Reaction_28517,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1508,eg48.3,eg48.3,eg48.3,
TMEDA,Org,1.12385,0.13060,Sodium metavanadate,Inorg,1.19742,0.14600,Sodium tellurite,Inorg,1.19778,0.26540,Water,Solv,338.05162,6.09010,?,?,?,?,28518,,Norquist Oxide Lab,False,False,False,Reaction_28518,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1509,eg48.4,eg48.4,eg48.4,
Sodium tellurite,Inorg,1.18288,0.26210,TMEDA,Org,1.18580,0.13780,Sodium metavanadate,Inorg,1.43772,0.17530,Water,Solv,335.27616,6.04010,?,?,?,?,28519,,Norquist Oxide Lab,False,False,False,Reaction_28519,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1510,eg48.5,eg48.5,eg48.5,
TMEDA,Org,1.15138,0.13380,Sodium tellurite,Inorg,1.21402,0.26900,Sodium metavanadate,Inorg,1.27287,0.15520,Water,Solv,343.60255,6.19010,?,?,?,?,28520,,Norquist Oxide Lab,False,False,False,Reaction_28520,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1511,eg48.6,eg48.6,eg48.6,
Sodium metavanadate,Inorg,1.18594,0.14460,Sodium tellurite,Inorg,1.18965,0.26360,TMEDA,Org,1.25981,0.14640,Water,Solv,336.94144,6.07010,?,?,?,?,28521,,Norquist Oxide Lab,False,False,False,Reaction_28521,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1512,eg48.7,eg48.7,eg48.7,
TMEDA,Org,1.15999,0.13480,Sodium tellurite,Inorg,1.17882,0.26120,Sodium metavanadate,Inorg,1.18840,0.14490,Water,Solv,333.61088,6.01010,?,?,?,?,28522,,Norquist Oxide Lab,False,False,False,Reaction_28522,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1513,eg48.8,eg48.8,eg48.8,
Sodium tellurite,Inorg,1.19011,0.26370,Sodium metavanadate,Inorg,1.20480,0.14690,TMEDA,Org,1.26325,0.14680,Water,Solv,335.27616,6.04010,?,?,?,?,28523,,Norquist Oxide Lab,False,False,False,Reaction_28523,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1514,eg48.9,eg48.9,eg48.9,
Sodium metavanadate,Inorg,1.19496,0.14570,Sodium tellurite,Inorg,1.21041,0.26820,TMEDA,Org,1.45601,0.16920,Water,Solv,345.26783,6.22010,?,?,?,?,28524,,Norquist Oxide Lab,False,False,False,Reaction_28524,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1515,eg48.10,eg48.10,eg48.10,
TMEDA,Org,1.18494,0.13770,Sodium tellurite,Inorg,1.19281,0.26430,Sodium metavanadate,Inorg,1.21874,0.14860,Water,Solv,340.82709,6.14010,?,?,?,?,28525,,Norquist Oxide Lab,False,False,False,Reaction_28525,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1516,eg48.11,eg48.11,eg48.11,
Sodium metavanadate,Inorg,1.18922,0.14500,Sodium tellurite,Inorg,1.19236,0.26420,TMEDA,Org,1.20302,0.13980,Water,Solv,336.38634,6.06010,?,?,?,?,28526,,Norquist Oxide Lab,False,False,False,Reaction_28526,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1517,eg48.12,eg48.12,eg48.12,
Sodium tellurite,Inorg,1.19958,0.26580,TMEDA,Org,1.21937,0.14170,Sodium metavanadate,Inorg,1.26795,0.15460,Water,Solv,339.16181,6.11010,?,?,?,?,28527,,Norquist Oxide Lab,False,False,False,Reaction_28527,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1518,eg48.13,eg48.13,eg48.13,
Sodium tellurite,Inorg,1.19146,0.26400,Sodium metavanadate,Inorg,1.21218,0.14780,TMEDA,Org,1.31747,0.15310,Water,Solv,341.38218,6.15010,?,?,?,?,28528,,Norquist Oxide Lab,False,False,False,Reaction_28528,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1519,eg48.14,eg48.14,eg48.14,
TMEDA,Org,1.14794,0.13340,Sodium metavanadate,Inorg,1.19824,0.14610,Sodium tellurite,Inorg,1.20996,0.26810,Water,Solv,336.38634,6.06010,?,?,?,?,28529,,Norquist Oxide Lab,False,False,False,Reaction_28529,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1520,eg48.15,eg48.15,eg48.15,
TMEDA,Org,1.17118,0.13610,Sodium tellurite,Inorg,1.19326,0.26440,Sodium metavanadate,Inorg,1.21628,0.14830,Water,Solv,335.27616,6.04010,?,?,?,?,28530,,Norquist Oxide Lab,False,False,False,Reaction_28530,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1521,eg48.16,eg48.16,eg48.16,
"1,6-HEXANEDIAMINE",Org,0.89581,0.10410,Sodium tellurite,Inorg,1.18334,0.26220,Sodium metavanadate,Inorg,1.22202,0.14900,Water,Solv,336.38634,6.06010,?,?,?,?,28531,,Norquist Oxide Lab,False,False,False,Reaction_28531,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1522,eg50.1,eg50.1,eg50.1,
"1,6-HEXANEDIAMINE",Org,0.89667,0.10420,Sodium metavanadate,Inorg,1.19988,0.14630,Sodium tellurite,Inorg,1.21673,0.26960,Water,Solv,331.39051,5.97010,?,?,?,?,28532,,Norquist Oxide Lab,False,False,False,Reaction_28532,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1523,eg50.2,eg50.2,eg50.2,
"1,6-HEXANEDIAMINE",Org,0.79340,0.09220,Sodium tellurite,Inorg,1.21854,0.27000,Sodium metavanadate,Inorg,1.28189,0.15630,Water,Solv,343.04746,6.18010,?,?,?,?,28533,,Norquist Oxide Lab,False,False,False,Reaction_28533,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1524,eg50.3,eg50.3,eg50.3,
"1,6-HEXANEDIAMINE",Org,0.84332,0.09800,Sodium tellurite,Inorg,1.21177,0.26850,Sodium metavanadate,Inorg,1.23843,0.15100,Water,Solv,333.05579,6.00010,?,?,?,?,28534,,Norquist Oxide Lab,False,False,False,Reaction_28534,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1525,eg50.4,eg50.4,eg50.4,
"1,6-HEXANEDIAMINE",Org,0.80459,0.09350,Sodium tellurite,Inorg,1.20500,0.26700,Sodium metavanadate,Inorg,1.27451,0.15540,Water,Solv,334.16597,6.02010,?,?,?,?,28535,,Norquist Oxide Lab,False,False,False,Reaction_28535,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1526,eg50.5,eg50.5,eg50.5,
"1,6-HEXANEDIAMINE",Org,0.83815,0.09740,Sodium metavanadate,Inorg,1.17117,0.14280,Sodium tellurite,Inorg,1.18604,0.26280,Water,Solv,344.71274,6.21010,?,?,?,?,28536,,Norquist Oxide Lab,False,False,False,Reaction_28536,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1527,eg50.6,eg50.6,eg50.6,
"1,6-HEXANEDIAMINE",Org,0.84159,0.09780,Sodium tellurite,Inorg,1.18875,0.26340,Sodium metavanadate,Inorg,1.23843,0.15100,Water,Solv,343.04746,6.18010,?,?,?,?,28537,,Norquist Oxide Lab,False,False,False,Reaction_28537,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1528,eg50.7,eg50.7,eg50.7,
"1,6-HEXANEDIAMINE",Org,0.90355,0.10500,Sodium metavanadate,Inorg,1.15559,0.14090,Sodium tellurite,Inorg,1.19507,0.26480,Water,Solv,335.83125,6.05010,?,?,?,?,28538,,Norquist Oxide Lab,False,False,False,Reaction_28538,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1529,eg50.8,eg50.8,eg50.8,
"1,6-HEXANEDIAMINE",Org,0.98100,0.11400,Sodium metavanadate,Inorg,1.17445,0.14320,Sodium tellurite,Inorg,1.18424,0.26240,Water,Solv,334.72107,6.03010,?,?,?,?,28539,,Norquist Oxide Lab,False,False,False,Reaction_28539,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1530,eg50.9,eg50.9,eg50.9,
"1,6-HEXANEDIAMINE",Org,0.78394,0.09110,Sodium tellurite,Inorg,1.18198,0.26190,Sodium metavanadate,Inorg,1.31634,0.16050,Water,Solv,348.04330,6.27010,?,?,?,?,28540,,Norquist Oxide Lab,False,False,False,Reaction_28540,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1531,eg50.10,eg50.10,eg50.10,
"1,6-HEXANEDIAMINE",Org,0.79599,0.09250,Sodium metavanadate,Inorg,1.18922,0.14500,Sodium tellurite,Inorg,1.21673,0.26960,Water,Solv,331.94560,5.98010,?,?,?,?,28541,,Norquist Oxide Lab,False,False,False,Reaction_28541,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1532,eg50.11,eg50.11,eg50.11,
"1,6-HEXANEDIAMINE",Org,0.83213,0.09670,Sodium metavanadate,Inorg,1.16379,0.14190,Sodium tellurite,Inorg,1.20274,0.26650,Water,Solv,340.82709,6.14010,?,?,?,?,28542,,Norquist Oxide Lab,False,False,False,Reaction_28542,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1533,eg50.12,eg50.12,eg50.12,
"1,6-HEXANEDIAMINE",Org,0.83987,0.09760,Sodium metavanadate,Inorg,1.17281,0.14300,Sodium tellurite,Inorg,1.18288,0.26210,Water,Solv,335.27616,6.04010,?,?,?,?,28543,,Norquist Oxide Lab,False,False,False,Reaction_28543,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1534,eg50.13,eg50.13,eg50.13,
"1,6-HEXANEDIAMINE",Org,0.95690,0.11120,Sodium tellurite,Inorg,1.21222,0.26860,Sodium metavanadate,Inorg,1.27861,0.15590,Water,Solv,346.93311,6.25010,?,?,?,?,28544,,Norquist Oxide Lab,False,False,False,Reaction_28544,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1535,eg50.14,eg50.14,eg50.14,
"1,6-HEXANEDIAMINE",Org,0.99907,0.11610,Sodium metavanadate,Inorg,1.20726,0.14720,Sodium tellurite,Inorg,1.23072,0.27270,Water,Solv,336.38634,6.06010,?,?,?,?,28545,,Norquist Oxide Lab,False,False,False,Reaction_28545,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1536,eg50.15,eg50.15,eg50.15,
"1,6-HEXANEDIAMINE",Org,0.79340,0.09220,Sodium metavanadate,Inorg,1.21546,0.14820,Sodium tellurite,Inorg,1.22576,0.27160,Water,Solv,331.94560,5.98010,?,?,?,?,28546,,Norquist Oxide Lab,False,False,False,Reaction_28546,cfalk,,,2016-05-02 20:54:10,,False,True,True,,1537,eg50.16,eg50.16,eg50.16,
Sodium metavanadate,Inorg,1.17937,0.14380,Sodium tellurite,Inorg,1.21448,0.26910,Piperazine,Org,1.38615,0.11940,Water,Solv,333.61088,6.01010,?,?,?,?,28685,,Norquist Oxide Lab,False,False,False,Reaction_28685,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1676,eg89.1,eg89.1,eg89.1,
Sodium tellurite,Inorg,1.04478,0.23150,Sodium metavanadate,Inorg,1.37293,0.16740,Piperazine,Org,1.40704,0.12120,Water,Solv,339.71690,6.12010,?,?,?,?,28686,,Norquist Oxide Lab,False,False,False,Reaction_28686,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1677,eg89.2,eg89.2,eg89.2,
Sodium tellurite,Inorg,1.01003,0.22380,Sodium metavanadate,Inorg,1.26631,0.15440,Piperazine,Org,1.27470,0.10980,Water,Solv,345.26783,6.22010,?,?,?,?,28687,,Norquist Oxide Lab,False,False,False,Reaction_28687,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1678,eg89.3,eg89.3,eg89.3,
Sodium metavanadate,Inorg,1.04487,0.12740,Sodium tellurite,Inorg,1.04523,0.23160,Piperazine,Org,1.23755,0.10660,Water,Solv,359.14516,6.47011,?,?,?,?,28688,,Norquist Oxide Lab,False,False,False,Reaction_28688,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1679,eg89.4,eg89.4,eg89.4,
Sodium metavanadate,Inorg,1.12771,0.13750,Sodium tellurite,Inorg,1.16303,0.25770,Piperazine,Org,1.32926,0.11450,Water,Solv,341.38218,6.15010,?,?,?,?,28689,,Norquist Oxide Lab,False,False,False,Reaction_28689,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1680,eg89.5,eg89.5,eg89.5,
Sodium tellurite,Inorg,1.15581,0.25610,Sodium metavanadate,Inorg,1.19086,0.14520,Piperazine,Org,1.34203,0.11560,Water,Solv,411.32390,7.41012,?,?,?,?,28690,,Norquist Oxide Lab,False,False,False,Reaction_28690,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1681,eg89.6,eg89.6,eg89.6,
Sodium tellurite,Inorg,1.15851,0.25670,Piperazine,Org,1.31765,0.11350,Sodium metavanadate,Inorg,1.38359,0.16870,Water,Solv,391.89564,7.06012,?,?,?,?,28691,,Norquist Oxide Lab,False,False,False,Reaction_28691,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1682,eg89.7,eg89.7,eg89.7,
Sodium metavanadate,Inorg,1.02191,0.12460,Sodium tellurite,Inorg,1.19507,0.26480,Piperazine,Org,1.32926,0.11450,Water,Solv,331.39051,5.97010,?,?,?,?,28692,,Norquist Oxide Lab,False,False,False,Reaction_28692,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1683,eg89.8,eg89.8,eg89.8,
Sodium metavanadate,Inorg,1.18512,0.14450,Sodium tellurite,Inorg,1.22756,0.27200,Ethylenediamine,Org,1.62396,0.09760,Water,Solv,339.71690,6.12010,?,?,?,?,28693,,Norquist Oxide Lab,False,False,False,Reaction_28693,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1684,eg89.9,eg89.9,eg89.9,
Sodium tellurite,Inorg,1.15626,0.25620,Sodium metavanadate,Inorg,1.27697,0.15570,Ethylenediamine,Org,1.86190,0.11190,Water,Solv,333.05579,6.00010,?,?,?,?,28694,,Norquist Oxide Lab,False,False,False,Reaction_28694,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1685,eg89.10,eg89.10,eg89.10,
Sodium tellurite,Inorg,1.14768,0.25430,Sodium metavanadate,Inorg,1.25483,0.15300,Ethylenediamine,Org,1.94010,0.11660,Water,Solv,361.36553,6.51011,?,?,?,?,28695,,Norquist Oxide Lab,False,False,False,Reaction_28695,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1686,eg89.11,eg89.11,eg89.11,
Sodium tellurite,Inorg,1.23840,0.27440,Sodium metavanadate,Inorg,1.29502,0.15790,Ethylenediamine,Org,1.42097,0.08540,Water,Solv,360.81044,6.50011,?,?,?,?,28696,,Norquist Oxide Lab,False,False,False,Reaction_28696,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1687,eg89.12,eg89.12,eg89.12,
Sodium tellurite,Inorg,1.10481,0.24480,Sodium metavanadate,Inorg,1.52548,0.18600,Ethylenediamine,Org,1.85358,0.11140,Water,Solv,343.60255,6.19010,?,?,?,?,28697,,Norquist Oxide Lab,False,False,False,Reaction_28697,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1688,eg89.13,eg89.13,eg89.13,
Ethylenediamine,Org,1.40433,0.08440,Sodium metavanadate,Inorg,1.41722,0.17280,Sodium tellurite,Inorg,1.43291,0.31750,Water,Solv,380.79378,6.86011,?,?,?,?,28698,,Norquist Oxide Lab,False,False,False,Reaction_28698,cfalk,,,2016-05-02 20:54:13,,False,True,True,,1689,eg89.14,eg89.14,eg89.14,
